id,subject,topic_id,stem,optionA,optionB,optionC,optionD,answer,solution_rationale,citations,qa_status
1,English,ENG_WORD,"In recommending Bao Phi’s collection Sông I Sing, a librarian noted that pieces by the spoken-word poet don’t lose their ______ nature when printed: the language has the same pleasant musical quality on the page as it does when performed by Phi.","jarring","scholarly","melodic","personal","C","'Pleasant musical quality' matches 'melodic'; others mismatch tone or meaning.","ENG_WORD_01;ENG_WORD_02",PASS
2,English,ENG_WORD,"The coach praised the player’s ______ performance, noting both precision and artistic expression on the field.","mechanical","bland","poignant","flamboyant","C","'Precision and artistic expression' imply emotional depth → 'poignant'.","ENG_WORD_01;ENG_WORD_03",PASS
3,English,ENG_WORD,"The director's early films are admired for their ______ pacing, moving the story forward without unnecessary scenes.","erratic","measured","haphazard","spurious","B","'Measured' means controlled and even; opposite of 'erratic'.","ENG_WORD_02;ENG_WORD_03",PASS
4,English,ENG_WORD,"Although the essay's tone is stern, the author's underlying attitude is surprisingly ______.","censorious","jovial","benevolent","acerbic","C","Contrast clue 'surprisingly' → positive tone → 'benevolent'.","ENG_WORD_02;ENG_WORD_03",PASS
5,English,ENG_WORD,"The critic argued that the novel's imagery is more ______ than realistic—anchored in metaphor and dream rather than concrete detail.","literal","evocative","prosaic","banal","B","Figurative quality → 'evocative' fits best.","ENG_WORD_04;ENG_WORD_01",PASS
6,English,ENG_WORD,"In context, the phrase 'an austere charm' most likely means:","ornate beauty","simple attractiveness","gaudy showiness","loudness","B","'Austere' = plain/simple → 'simple attractiveness'.","ENG_WORD_04;ENG_WORD_03",PASS
7,English,ENG_WORD,"The politician’s statement had a ______ tone—measured and deliberately restrained.","bombastic","temperate","inflammatory","vociferous","B","'Measured and restrained' = 'temperate'.","ENG_WORD_02;ENG_WORD_01",PASS
8,English,ENG_WORD,"When the reviewer calls the performance 'reserved', she means that it is:","showy and theatrical","restrained and controlled","disorganized and chaotic","overly emotional","B","'Reserved' = restrained.","ENG_WORD_01;ENG_WORD_04",PASS
9,English,ENG_WORD,"The memoir’s prose is spare but ______ — each sentence is economical yet vivid.","prolix","concise","verbose","turgid","B","'Spare' and 'economical' align with 'concise'.","ENG_WORD_03;ENG_WORD_04",PASS
10,English,ENG_WORD,"The phrase 'the painting’s luminous quality' most nearly means:","an attribute of brightness or glow","a measure of price","a physical texture","a structural flaw","A","'Luminous' = glowing/bright.","ENG_WORD_04;ENG_WORD_01",PASS
11,English,ENG_EVID,"Researchers hypothesized that a flexible fin improves fish maneuverability. Which experimental result would most strongly support this claim?","Model with flexible fin had more drag at high speed.","Model with flexible fin turned more quickly in sharp turns.","Model with flexible fin displaced less water.","Model with flexible fin used more battery power.","B","Direct support: faster turns = better maneuverability.","ENG_EVID_04;ENG_EVID_02",PASS
12,English,ENG_EVID,"A study claims that a protein increases cell resilience under heat stress. Which finding best supports this claim?","Cells with the protein maintained higher viability after heat exposure.","Cells with the protein consumed more glucose.","Cells with the protein showed altered shape.","Cells with the protein expressed an unrelated enzyme.","A","Directly shows 'increased resilience'.","ENG_EVID_01;ENG_EVID_02",PASS
13,English,ENG_EVID,"A literary argument claims that the protagonist’s generosity is performative rather than sincere. Which quotation best supports this claim?","'She gave away her coat, smiling broadly as the crowd watched.'","'She kept her coat for years, never offering it.'","'She spoke earnestly of charity in private.'","'She stitched the coat's lining herself.'","A","Public generosity implies performance.","ENG_EVID_03;ENG_EVID_04",PASS
14,English,ENG_EVID,"If an author argues that a novel celebrates urban life’s anonymity, which piece of textual evidence best supports that claim?","A passage describing crowded streets where people pass without noticing each other.","A passage describing a single character’s private diary.","A passage describing a quiet rural village.","A passage that lists the city's buildings' heights.","A","Crowded anonymity = direct support.","ENG_EVID_03;ENG_EVID_04",PASS
15,English,ENG_EVID,"Which of these findings would weaken the hypothesis that a larger tail increases a bird's flight efficiency?","Birds with larger tails showed lower energy expenditure for the same speed.","Birds with larger tails had no change in average cruising speed.","Birds with larger tails required more muscle work for sharp evasive maneuvers.","Birds with larger tails traveled farther in windless tests.","C","Higher muscle work = less efficient.","ENG_EVID_02;ENG_EVID_04",PASS
16,English,ENG_EVID,"A critic claims a poem's tone is elegiac (mourning). Which quotation would most strongly support that interpretation?","'She danced under lanterns with laughter bright.'","'He walked past the shuttered windows and wept.'","'The crowd cheered at the festival.'","'Her letters spoke of business matters.'","B","'Wept' = mourning imagery.","ENG_EVID_03;ENG_EVID_04",PASS
17,English,ENG_EVID,"To test whether a sail improved turning agility in models, researchers measured time to complete a sharp turn. Which result best supports the sail-improves-agility hypothesis?","Sail model completed the turn in less time than the no-sail model.","Sail model had higher battery draw.","Sail model displaced more water volume overall.","Sail model had identical straight-line speed only.","A","Less time = greater agility.","ENG_EVID_02;ENG_EVID_04",PASS
18,English,ENG_EVID,"Which choice is best evidence for the claim that a character is pretentious?","He walked modestly and avoided attention.","He bragged loudly about minor achievements.","He kept a low diary unseen by others.","He apologized frequently for small mistakes.","B","Pretentious = boastful/self-important.","ENG_EVID_03;ENG_EVID_01",PASS
19,English,ENG_EVID,"If a study's hypothesis is 'X causes increased accuracy', which experimental result would support that?","X treatment led to higher measured accuracy than control.","X treatment led to longer setup times but same accuracy.","X treatment led to no change in accuracy.","X treatment reduced participant satisfaction only.","A","Higher accuracy = direct support.","ENG_EVID_01;ENG_EVID_02",PASS
20,English,ENG_EVID,"A literary claim says the narrator is unreliable because of memory lapses. Which quotation best supports that claim?","'I remember the afternoon clearly: or at least that's how I told it later.'","'The town had a single church.'","'He carefully noted every date.'","'She was a good cook.'","A","Self-doubt = unreliable narration.","ENG_EVID_03;ENG_EVID_04",PASS
21,English,ENG_GRAM,"When a fire burns red or green or blue, the color of its flames ______ the chemical composition of the combustible material.","indicate","indicates","have indicated","are indicating","B","'Color' is singular → use 'indicates'.","ENG_GRAM_01;ENG_GRAM_02",PASS
22,English,ENG_GRAM,"Neither the manager nor the employees ______ willing to work weekends this month.","is","are","was","were","B","Verb agrees with nearer plural noun → 'are'.","ENG_GRAM_02;ENG_GRAM_04",PASS
23,English,ENG_GRAM,"Every one of the proposals ______ been carefully reviewed by the committee.","has","have","were","are","A","'Every one' is singular → 'has'.","ENG_GRAM_01;ENG_GRAM_04",PASS
24,English,ENG_GRAM,"The pair of shoes on the shelf ______ expensive than they look.","is","are","be","were","A","'Pair' is singular → 'is'.","ENG_GRAM_02;ENG_GRAM_01",PASS
25,English,ENG_GRAM,"There ______ a series of errors in the calculation that explains the discrepancy.","is","are","have","were","A","Subject is 'a series' (singular) → 'is'.","ENG_GRAM_02;ENG_GRAM_03",PASS
26,English,ENG_GRAM,"Not only the students but also the teacher ______ prepared to present the findings.","was","were","have","is","D","Verb agrees with nearer noun 'teacher' (singular) → 'is'.","ENG_GRAM_04;ENG_GRAM_02",PASS
27,English,ENG_GRAM,"Hardly had the meeting started when the speakers ______ interrupted by a power outage.","was","were","is","has been","B","Inverted order; plural subject → 'were'.","ENG_GRAM_03;ENG_GRAM_04",PASS
28,English,ENG_GRAM,"Each of the solutions ______ listed on the worksheet.","is","are","have","were","A","'Each' is singular → 'is'.","ENG_GRAM_01;ENG_GRAM_04",PASS
29,English,ENG_GRAM,"The committee, along with the chair, ______ deciding on the policy tomorrow.","is","are","were","have","A","'Committee' is singular; 'along with' doesn’t change number.","ENG_GRAM_02;ENG_GRAM_04",PASS
30,English,ENG_GRAM,"If either the director or the producers ______ available, we will begin filming.","is","are","were","have","B","Verb agrees with nearer plural noun 'producers' → 'are'.","ENG_GRAM_02;ENG_GRAM_04",PASS
